 ,Label,Bone Code,Slice,CSA (inches²),X cent. (inches),Y cent. (inches),Density,wX cent. (inches),wY cent. (inches),Theta (rad),R1 (inches),R2 (inches),Imin (inches^4),Imax (inches^4),Ipm (inches^4),Zmax (inches³),Zmin (inches³),Zpol (inches³),Feret Min (inches),Feret Max (inches),Feret Angle (rad),Perimeter (inches),Max Thick 2D (inches),Mean Thick 2D (inches),SD Thick 2D (inches),M (rad),P (rad),IML(inches^4),IAP(inches^4),ZML(inches³),ZPA(inches³),RML(inches),RAP(inches),DML(inches),DPA(inches)
1,TrimmedRawStackdistal.tif,5,1,1.152,0.783,1.22,1.8,0.783,1.22,1.387,0.586,0.803,0.106,0.214,0.186,0.266,0.18,0.396,1.147,1.589,1.78,4.63,0.442,0.304,0.121,6.144,1.431,0.106,0.214,0.18,0.267,0.588,0.801,1.588,1.15
2,TrimmedRawStackdistal.tif,5,2,1.15,0.782,1.219,1.8,0.782,1.219,1.388,0.57,0.804,0.105,0.214,0.185,0.267,0.185,0.396,1.133,1.59,1.782,4.612,0.437,0.305,0.123,6.144,1.431,0.105,0.214,0.185,0.267,0.571,0.802,1.589,1.133
3,TrimmedRawStackdistal.tif,5,3,1.151,0.782,1.219,1.8,0.782,1.219,1.389,0.569,0.804,0.105,0.214,0.185,0.267,0.185,0.395,1.131,1.591,1.771,4.607,0.47,0.316,0.13,6.144,1.431,0.105,0.214,0.185,0.267,0.57,0.802,1.589,1.133
4,TrimmedRawStackdistal.tif,5,4,1.149,0.782,1.219,1.8,0.782,1.219,1.389,0.568,0.805,0.105,0.215,0.185,0.267,0.185,0.395,1.131,1.592,1.771,4.606,0.433,0.303,0.122,6.144,1.431,0.105,0.214,0.184,0.267,0.57,0.802,1.59,1.132
5,TrimmedRawStackdistal.tif,5,5,1.147,0.782,1.219,1.8,0.782,1.219,1.389,0.568,0.804,0.105,0.215,0.185,0.267,0.184,0.395,1.13,1.593,1.785,4.588,0.467,0.312,0.128,6.144,1.431,0.105,0.214,0.184,0.267,0.569,0.802,1.59,1.132
6,TrimmedRawStackdistal.tif,5,6,1.147,0.782,1.219,1.8,0.782,1.219,1.39,0.566,0.805,0.105,0.215,0.185,0.267,0.185,0.395,1.129,1.593,1.783,4.599,0.462,0.312,0.127,6.144,1.431,0.105,0.215,0.184,0.268,0.568,0.802,1.59,1.131
7,TrimmedRawStackdistal.tif,5,7,1.146,0.782,1.219,1.8,0.782,1.219,1.39,0.566,0.805,0.104,0.215,0.185,0.267,0.184,0.395,1.128,1.594,1.777,4.605,0.457,0.305,0.126,6.144,1.431,0.105,0.215,0.184,0.268,0.567,0.803,1.591,1.131
8,TrimmedRawStackdistal.tif,5,8,1.146,0.782,1.219,1.8,0.782,1.219,1.391,0.565,0.806,0.104,0.215,0.185,0.267,0.185,0.395,1.128,1.594,1.79,4.607,0.456,0.311,0.124,6.144,1.431,0.104,0.215,0.184,0.268,0.566,0.803,1.593,1.13
9,TrimmedRawStackdistal.tif,5,9,1.145,0.782,1.219,1.8,0.782,1.219,1.391,0.564,0.806,0.104,0.216,0.185,0.268,0.185,0.395,1.126,1.595,1.789,4.612,0.453,0.307,0.123,6.144,1.431,0.104,0.216,0.185,0.268,0.565,0.804,1.593,1.129
10,TrimmedRawStackdistal.tif,5,10,1.144,0.782,1.218,1.8,0.782,1.218,1.392,0.563,0.806,0.104,0.216,0.185,0.268,0.185,0.395,1.126,1.595,1.789,4.603,0.451,0.305,0.124,6.144,1.431,0.104,0.216,0.184,0.268,0.564,0.804,1.593,1.127
11,TrimmedRawStackdistal.tif,5,11,1.143,0.782,1.218,1.8,0.782,1.218,1.393,0.561,0.807,0.104,0.216,0.184,0.268,0.185,0.395,1.124,1.595,1.785,4.606,0.446,0.312,0.118,6.144,1.431,0.104,0.216,0.184,0.268,0.563,0.805,1.594,1.126
12,TrimmedRawStackdistal.tif,5,12,1.142,0.782,1.218,1.8,0.782,1.218,1.393,0.561,0.807,0.103,0.216,0.184,0.268,0.184,0.394,1.123,1.596,1.742,4.62,0.443,0.309,0.121,6.144,1.431,0.104,0.216,0.184,0.268,0.563,0.806,1.595,1.125
13,TrimmedRawStackdistal.tif,5,13,1.141,0.782,1.218,1.8,0.782,1.218,1.394,0.561,0.808,0.103,0.217,0.184,0.268,0.184,0.394,1.123,1.597,1.749,4.605,0.443,0.306,0.119,6.144,1.431,0.103,0.216,0.184,0.269,0.563,0.806,1.596,1.125
14,TrimmedRawStackdistal.tif,5,14,1.139,0.782,1.218,1.8,0.782,1.218,1.394,0.561,0.807,0.103,0.217,0.184,0.268,0.184,0.394,1.121,1.596,1.779,4.603,0.439,0.308,0.12,6.144,1.431,0.103,0.216,0.184,0.269,0.561,0.805,1.595,1.123
15,TrimmedRawStackdistal.tif,5,15,1.138,0.782,1.218,1.8,0.782,1.218,1.395,0.561,0.807,0.103,0.217,0.184,0.268,0.183,0.394,1.12,1.597,1.744,4.615,0.435,0.303,0.121,6.144,1.431,0.103,0.217,0.184,0.269,0.56,0.805,1.597,1.122
16,TrimmedRawStackdistal.tif,5,16,1.137,0.781,1.218,1.8,0.781,1.218,1.396,0.56,0.808,0.103,0.217,0.184,0.268,0.183,0.394,1.119,1.599,1.756,4.617,0.431,0.293,0.118,6.144,1.431,0.103,0.217,0.184,0.269,0.56,0.806,1.597,1.121
17,TrimmedRawStackdistal.tif,5,17,1.136,0.781,1.217,1.8,0.781,1.217,1.397,0.56,0.808,0.103,0.217,0.184,0.268,0.183,0.393,1.118,1.599,1.746,4.62,0.427,0.3,0.119,6.144,1.431,0.103,0.217,0.184,0.269,0.559,0.806,1.598,1.119
18,TrimmedRawStackdistal.tif,5,18,1.135,0.781,1.217,1.8,0.781,1.217,1.398,0.56,0.808,0.102,0.217,0.184,0.269,0.183,0.393,1.116,1.599,1.736,4.623,0.392,0.296,0.112,6.144,1.431,0.102,0.217,0.183,0.269,0.559,0.807,1.598,1.117
19,TrimmedRawStackdistal.tif,5,19,1.134,0.781,1.216,1.8,0.781,1.216,1.399,0.56,0.809,0.102,0.217,0.184,0.269,0.182,0.392,1.115,1.6,1.741,4.623,0.42,0.3,0.12,6.144,1.431,0.102,0.217,0.183,0.269,0.559,0.807,1.599,1.115
20,TrimmedRawStackdistal.tif,5,20,1.134,0.781,1.216,1.8,0.781,1.216,1.399,0.56,0.809,0.102,0.218,0.183,0.269,0.182,0.392,1.113,1.6,1.741,4.619,0.422,0.303,0.119,6.144,1.431,0.102,0.217,0.183,0.269,0.558,0.808,1.6,1.115
21,TrimmedRawStackdistal.tif,5,21,1.133,0.781,1.216,1.8,0.781,1.216,1.4,0.559,0.809,0.102,0.218,0.183,0.269,0.182,0.392,1.111,1.601,1.777,4.615,0.42,0.301,0.119,6.144,1.431,0.102,0.218,0.182,0.27,0.558,0.808,1.599,1.113
22,TrimmedRawStackdistal.tif,5,22,1.132,0.781,1.216,1.8,0.781,1.216,1.4,0.56,0.81,0.101,0.218,0.183,0.269,0.181,0.392,1.11,1.601,1.758,4.619,0.417,0.298,0.12,6.144,1.431,0.102,0.218,0.182,0.27,0.559,0.808,1.599,1.112
23,TrimmedRawStackdistal.tif,5,23,1.131,0.781,1.216,1.8,0.781,1.216,1.4,0.56,0.81,0.101,0.218,0.183,0.269,0.181,0.392,1.108,1.603,1.781,4.625,0.41,0.292,0.118,6.144,1.431,0.101,0.218,0.182,0.27,0.558,0.808,1.6,1.11
24,TrimmedRawStackdistal.tif,5,24,1.13,0.781,1.216,1.8,0.781,1.216,1.401,0.56,0.81,0.101,0.218,0.183,0.27,0.181,0.391,1.108,1.602,1.784,4.618,0.392,0.281,0.111,6.144,1.431,0.101,0.218,0.181,0.27,0.559,0.808,1.601,1.11
25,TrimmedRawStackdistal.tif,5,25,1.13,0.781,1.216,1.8,0.781,1.216,1.402,0.56,0.81,0.101,0.219,0.183,0.27,0.18,0.391,1.106,1.603,1.729,4.616,0.417,0.295,0.117,6.144,1.431,0.101,0.218,0.181,0.27,0.558,0.809,1.602,1.107
26,TrimmedRawStackdistal.tif,5,26,1.128,0.781,1.216,1.8,0.781,1.216,1.403,0.559,0.81,0.101,0.219,0.183,0.27,0.18,0.391,1.104,1.604,1.755,4.618,0.416,0.297,0.116,6.144,1.431,0.101,0.219,0.181,0.27,0.558,0.809,1.604,1.105
27,TrimmedRawStackdistal.tif,5,27,1.126,0.78,1.215,1.8,0.78,1.215,1.404,0.559,0.812,0.1,0.219,0.183,0.269,0.18,0.39,1.104,1.607,1.699,4.631,0.415,0.294,0.116,6.144,1.431,0.101,0.219,0.18,0.269,0.558,0.812,1.607,1.105
28,TrimmedRawStackdistal.tif,5,28,1.125,0.78,1.215,1.8,0.78,1.215,1.405,0.559,0.814,0.1,0.219,0.182,0.269,0.18,0.39,1.102,1.609,1.696,4.627,0.413,0.288,0.117,6.144,1.431,0.1,0.219,0.18,0.269,0.557,0.814,1.609,1.102
29,TrimmedRawStackdistal.tif,5,29,1.124,0.78,1.215,1.8,0.78,1.215,1.406,0.559,0.813,0.1,0.219,0.182,0.269,0.179,0.39,1.101,1.608,1.768,4.638,0.41,0.285,0.117,6.144,1.431,0.1,0.219,0.18,0.27,0.558,0.812,1.607,1.101
30,TrimmedRawStackdistal.tif,5,30,1.122,0.78,1.215,1.8,0.78,1.215,1.407,0.559,0.813,0.1,0.219,0.182,0.27,0.179,0.39,1.099,1.607,1.723,4.637,0.407,0.285,0.116,6.144,1.431,0.1,0.219,0.179,0.27,0.558,0.812,1.607,1.099
31,TrimmedRawStackdistal.tif,5,31,1.121,0.78,1.215,1.8,0.78,1.215,1.408,0.559,0.815,0.1,0.219,0.182,0.269,0.178,0.389,1.097,1.61,1.686,4.643,0.409,0.286,0.116,6.144,1.431,0.1,0.219,0.179,0.27,0.558,0.814,1.61,1.099
32,TrimmedRawStackdistal.tif,5,32,1.122,0.78,1.214,1.8,0.78,1.214,1.409,0.559,0.815,0.1,0.22,0.182,0.27,0.178,0.39,1.095,1.609,1.738,4.631,0.405,0.28,0.118,6.144,1.431,0.1,0.22,0.178,0.27,0.558,0.814,1.609,1.098
33,TrimmedRawStackdistal.tif,5,33,1.122,0.78,1.214,1.8,0.78,1.214,1.41,0.559,0.821,0.099,0.22,0.182,0.268,0.178,0.389,1.093,1.615,1.711,4.644,0.402,0.281,0.116,6.144,1.431,0.099,0.22,0.178,0.269,0.558,0.82,1.615,1.097
34,TrimmedRawStackdistal.tif,5,34,1.121,0.78,1.214,1.8,0.78,1.214,1.411,0.559,0.819,0.099,0.22,0.182,0.269,0.177,0.389,1.091,1.614,1.706,4.649,0.398,0.28,0.116,6.144,1.431,0.099,0.22,0.178,0.269,0.558,0.818,1.614,1.097
35,TrimmedRawStackdistal.tif,5,35,1.12,0.78,1.213,1.8,0.78,1.213,1.412,0.559,0.819,0.099,0.22,0.182,0.269,0.177,0.389,1.09,1.614,1.693,4.66,0.408,0.284,0.118,6.144,1.431,0.099,0.22,0.178,0.269,0.558,0.818,1.614,1.098
36,TrimmedRawStackdistal.tif,5,36,1.119,0.78,1.213,1.8,0.78,1.213,1.413,0.558,0.816,0.099,0.221,0.182,0.27,0.177,0.389,1.088,1.614,1.69,4.644,0.39,0.274,0.113,6.144,1.431,0.099,0.22,0.177,0.27,0.558,0.816,1.613,1.097
37,TrimmedRawStackdistal.tif,5,37,1.118,0.78,1.213,1.8,0.78,1.213,1.413,0.558,0.818,0.099,0.221,0.182,0.27,0.177,0.388,1.086,1.615,1.705,4.635,0.406,0.275,0.118,6.144,1.431,0.099,0.221,0.177,0.27,0.558,0.817,1.615,1.096
38,TrimmedRawStackdistal.tif,5,38,1.117,0.78,1.213,1.8,0.78,1.213,1.414,0.559,0.821,0.098,0.221,0.182,0.269,0.176,0.387,1.085,1.619,1.748,4.648,0.388,0.27,0.113,6.144,1.431,0.099,0.221,0.177,0.27,0.558,0.819,1.618,1.097
39,TrimmedRawStackdistal.tif,5,39,1.117,0.78,1.213,1.8,0.78,1.213,1.414,0.558,0.819,0.098,0.221,0.182,0.27,0.176,0.387,1.083,1.618,1.762,4.646,0.404,0.277,0.118,6.144,1.431,0.098,0.221,0.176,0.271,0.558,0.818,1.617,1.095
40,TrimmedRawStackdistal.tif,5,40,1.117,0.78,1.213,1.8,0.78,1.213,1.415,0.557,0.821,0.098,0.222,0.182,0.27,0.176,0.388,1.082,1.62,1.76,4.657,0.395,0.278,0.114,6.144,1.431,0.098,0.222,0.177,0.271,0.557,0.819,1.619,1.094
41,TrimmedRawStackdistal.tif,5,41,1.117,0.78,1.212,1.8,0.78,1.212,1.416,0.557,0.822,0.098,0.222,0.182,0.271,0.176,0.388,1.082,1.622,1.72,4.657,0.404,0.275,0.117,6.144,1.431,0.098,0.222,0.177,0.271,0.556,0.821,1.622,1.093
42,TrimmedRawStackdistal.tif,5,42,1.116,0.78,1.213,1.8,0.78,1.213,1.416,0.558,0.823,0.098,0.223,0.182,0.27,0.176,0.387,1.08,1.624,1.753,4.662,0.404,0.276,0.117,6.144,1.431,0.098,0.223,0.176,0.271,0.557,0.822,1.623,1.093
43,TrimmedRawStackdistal.tif,5,43,1.116,0.781,1.212,1.8,0.781,1.212,1.417,0.558,0.824,0.098,0.223,0.182,0.27,0.175,0.387,1.08,1.624,1.729,4.662,0.401,0.275,0.115,6.144,1.431,0.098,0.223,0.176,0.271,0.557,0.823,1.624,1.092
44,TrimmedRawStackdistal.tif,5,44,1.114,0.78,1.212,1.8,0.78,1.212,1.417,0.558,0.823,0.098,0.223,0.181,0.271,0.175,0.387,1.078,1.622,1.729,4.649,0.401,0.272,0.114,6.144,1.431,0.098,0.223,0.175,0.271,0.557,0.822,1.622,1.091
45,TrimmedRawStackdistal.tif,5,45,1.112,0.78,1.211,1.8,0.78,1.211,1.418,0.557,0.823,0.097,0.223,0.181,0.271,0.175,0.386,1.077,1.624,1.767,4.661,0.401,0.276,0.115,6.144,1.431,0.097,0.223,0.175,0.271,0.557,0.822,1.623,1.089
46,TrimmedRawStackdistal.tif,5,46,1.112,0.78,1.211,1.8,0.78,1.211,1.419,0.556,0.825,0.097,0.223,0.181,0.27,0.175,0.387,1.075,1.626,1.714,4.674,0.404,0.273,0.114,6.144,1.431,0.097,0.223,0.175,0.27,0.556,0.825,1.626,1.087
47,TrimmedRawStackdistal.tif,5,47,1.111,0.78,1.211,1.8,0.78,1.211,1.419,0.556,0.823,0.097,0.223,0.181,0.271,0.174,0.386,1.074,1.625,1.761,4.665,0.405,0.273,0.115,6.144,1.431,0.097,0.223,0.174,0.272,0.555,0.821,1.622,1.085
48,TrimmedRawStackdistal.tif,5,48,1.113,0.78,1.211,1.8,0.78,1.211,1.419,0.556,0.825,0.097,0.224,0.181,0.271,0.174,0.386,1.073,1.627,1.729,4.641,0.414,0.275,0.119,6.144,1.431,0.097,0.224,0.175,0.271,0.555,0.824,1.627,1.084
49,TrimmedRawStackdistal.tif,5,49,1.112,0.781,1.211,1.8,0.781,1.211,1.419,0.555,0.826,0.097,0.224,0.181,0.271,0.174,0.385,1.071,1.629,1.747,4.653,0.413,0.275,0.119,6.144,1.431,0.097,0.224,0.174,0.271,0.555,0.825,1.628,1.081
50,TrimmedRawStackdistal.tif,5,50,1.111,0.781,1.211,1.8,0.781,1.211,1.42,0.556,0.827,0.096,0.224,0.181,0.271,0.173,0.385,1.069,1.63,1.765,4.647,0.414,0.277,0.121,6.144,1.431,0.096,0.224,0.173,0.271,0.556,0.825,1.628,1.081
51,TrimmedRawStackdistal.tif,5,51,1.109,0.781,1.21,1.8,0.781,1.21,1.421,0.557,0.824,0.096,0.224,0.181,0.272,0.173,0.386,1.066,1.627,1.736,4.641,0.416,0.281,0.121,6.144,1.431,0.096,0.224,0.173,0.272,0.556,0.823,1.627,1.079
52,TrimmedRawStackdistal.tif,5,52,1.109,0.781,1.21,1.8,0.781,1.21,1.421,0.557,0.825,0.096,0.224,0.181,0.272,0.172,0.385,1.066,1.63,1.754,4.649,0.42,0.279,0.119,6.144,1.431,0.096,0.224,0.173,0.272,0.556,0.824,1.628,1.078
53,TrimmedRawStackdistal.tif,5,53,1.108,0.78,1.21,1.8,0.78,1.21,1.421,0.555,0.825,0.096,0.225,0.181,0.272,0.172,0.384,1.064,1.63,1.778,4.646,0.426,0.277,0.12,6.144,1.431,0.096,0.225,0.172,0.272,0.555,0.824,1.629,1.076
54,TrimmedRawStackdistal.tif,5,54,1.108,0.78,1.21,1.8,0.78,1.21,1.422,0.555,0.824,0.095,0.225,0.18,0.273,0.172,0.383,1.062,1.631,1.803,4.656,0.402,0.28,0.118,6.144,1.431,0.095,0.225,0.172,0.273,0.555,0.824,1.629,1.074
55,TrimmedRawStackdistal.tif,5,55,1.105,0.78,1.21,1.8,0.78,1.21,1.422,0.555,0.828,0.095,0.225,0.18,0.272,0.171,0.383,1.061,1.634,1.785,4.646,0.429,0.28,0.12,6.144,1.431,0.095,0.225,0.172,0.272,0.555,0.827,1.633,1.074
56,TrimmedRawStackdistal.tif,5,56,1.105,0.78,1.21,1.8,0.78,1.21,1.423,0.554,0.827,0.095,0.225,0.18,0.272,0.171,0.384,1.06,1.633,1.725,4.638,0.426,0.278,0.123,6.144,1.431,0.095,0.225,0.171,0.273,0.554,0.826,1.633,1.072
57,TrimmedRawStackdistal.tif,5,57,1.103,0.78,1.209,1.8,0.78,1.209,1.423,0.554,0.831,0.095,0.225,0.18,0.271,0.171,0.382,1.057,1.638,1.753,4.665,0.434,0.28,0.124,6.144,1.431,0.095,0.225,0.171,0.271,0.553,0.83,1.637,1.069
58,TrimmedRawStackdistal.tif,5,58,1.102,0.78,1.209,1.8,0.78,1.209,1.423,0.554,0.827,0.094,0.226,0.18,0.273,0.17,0.382,1.055,1.634,1.801,4.66,0.385,0.272,0.115,6.144,1.431,0.094,0.226,0.17,0.273,0.554,0.826,1.633,1.067
59,TrimmedRawStackdistal.tif,5,59,1.101,0.78,1.209,1.8,0.78,1.209,1.423,0.554,0.831,0.094,0.226,0.179,0.272,0.17,0.38,1.055,1.638,1.718,4.646,0.407,0.273,0.118,6.144,1.431,0.094,0.226,0.17,0.272,0.554,0.83,1.638,1.066
60,TrimmedRawStackdistal.tif,5,60,1.1,0.78,1.209,1.8,0.78,1.209,1.423,0.554,0.829,0.094,0.226,0.179,0.273,0.169,0.381,1.052,1.639,1.751,4.676,0.398,0.27,0.116,6.144,1.431,0.094,0.226,0.169,0.273,0.554,0.828,1.638,1.065
61,TrimmedRawStackdistal.tif,5,61,1.099,0.78,1.209,1.8,0.78,1.209,1.423,0.553,0.832,0.093,0.227,0.179,0.272,0.169,0.381,1.051,1.641,1.712,4.673,0.388,0.27,0.112,6.144,1.431,0.093,0.227,0.169,0.272,0.553,0.831,1.641,1.063
62,TrimmedRawStackdistal.tif,5,62,1.101,0.78,1.209,1.8,0.78,1.209,1.424,0.553,0.83,0.093,0.227,0.18,0.273,0.169,0.382,1.05,1.641,1.745,4.677,0.4,0.273,0.114,6.144,1.431,0.093,0.227,0.169,0.274,0.553,0.829,1.64,1.062
63,TrimmedRawStackdistal.tif,5,63,1.099,0.78,1.209,1.8,0.78,1.209,1.424,0.553,0.828,0.093,0.227,0.179,0.274,0.168,0.382,1.05,1.639,1.775,4.671,0.396,0.265,0.113,6.144,1.431,0.093,0.227,0.168,0.274,0.553,0.827,1.638,1.061
64,TrimmedRawStackdistal.tif,5,64,1.098,0.78,1.209,1.8,0.78,1.209,1.424,0.552,0.83,0.093,0.227,0.179,0.274,0.168,0.381,1.048,1.643,1.745,4.65,0.418,0.272,0.117,6.144,1.431,0.093,0.227,0.168,0.274,0.552,0.83,1.642,1.058
65,TrimmedRawStackdistal.tif,5,65,1.097,0.78,1.209,1.8,0.78,1.209,1.424,0.552,0.83,0.093,0.227,0.179,0.274,0.168,0.38,1.046,1.643,1.801,4.658,0.407,0.266,0.117,6.144,1.431,0.093,0.227,0.168,0.274,0.552,0.83,1.642,1.056
66,TrimmedRawStackdistal.tif,5,66,1.096,0.78,1.209,1.8,0.78,1.209,1.424,0.552,0.832,0.092,0.228,0.179,0.274,0.167,0.379,1.045,1.645,1.729,4.666,0.386,0.263,0.113,6.144,1.431,0.092,0.228,0.167,0.274,0.552,0.832,1.645,1.055
67,TrimmedRawStackdistal.tif,5,67,1.093,0.78,1.208,1.8,0.78,1.208,1.424,0.552,0.837,0.092,0.228,0.178,0.272,0.167,0.379,1.043,1.65,1.727,4.686,0.383,0.264,0.111,6.144,1.431,0.092,0.228,0.167,0.272,0.551,0.836,1.65,1.053
68,TrimmedRawStackdistal.tif,5,68,1.092,0.78,1.208,1.8,0.78,1.208,1.424,0.551,0.833,0.092,0.228,0.178,0.274,0.166,0.378,1.04,1.647,1.737,4.65,0.385,0.261,0.113,6.144,1.431,0.092,0.228,0.167,0.274,0.551,0.832,1.647,1.051
69,TrimmedRawStackdistal.tif,5,69,1.09,0.78,1.207,1.8,0.78,1.207,1.424,0.551,0.834,0.091,0.228,0.178,0.274,0.166,0.378,1.04,1.649,1.717,4.667,0.385,0.257,0.112,6.144,1.431,0.091,0.228,0.166,0.274,0.55,0.834,1.649,1.049
70,TrimmedRawStackdistal.tif,5,70,1.088,0.78,1.207,1.8,0.78,1.207,1.424,0.551,0.832,0.091,0.228,0.177,0.274,0.165,0.378,1.039,1.648,1.723,4.665,0.414,0.265,0.116,6.144,1.431,0.091,0.228,0.166,0.275,0.55,0.832,1.648,1.048
71,TrimmedRawStackdistal.tif,5,71,1.087,0.779,1.207,1.8,0.779,1.207,1.424,0.55,0.836,0.091,0.229,0.177,0.274,0.165,0.378,1.039,1.654,1.758,4.673,0.413,0.264,0.115,6.144,1.431,0.091,0.229,0.165,0.274,0.549,0.835,1.652,1.046
72,TrimmedRawStackdistal.tif,5,72,1.086,0.78,1.207,1.8,0.78,1.207,1.424,0.55,0.836,0.091,0.229,0.177,0.274,0.165,0.378,1.038,1.654,1.728,4.671,0.402,0.265,0.113,6.144,1.431,0.091,0.229,0.165,0.274,0.549,0.836,1.653,1.044
73,TrimmedRawStackdistal.tif,5,73,1.085,0.779,1.206,1.8,0.779,1.206,1.423,0.55,0.835,0.09,0.229,0.177,0.275,0.165,0.378,1.036,1.653,1.774,4.671,0.405,0.264,0.113,6.144,1.431,0.09,0.229,0.165,0.275,0.55,0.834,1.651,1.043
74,TrimmedRawStackdistal.tif,5,74,1.084,0.779,1.206,1.8,0.779,1.206,1.423,0.55,0.836,0.09,0.23,0.177,0.274,0.164,0.378,1.036,1.656,1.774,4.665,0.403,0.259,0.111,6.144,1.431,0.09,0.23,0.164,0.275,0.55,0.836,1.653,1.042
75,TrimmedRawStackdistal.tif,5,75,1.082,0.779,1.206,1.8,0.779,1.206,1.424,0.549,0.837,0.09,0.23,0.177,0.274,0.164,0.378,1.034,1.657,1.765,4.67,0.41,0.258,0.112,6.144,1.431,0.09,0.23,0.164,0.275,0.549,0.836,1.655,1.041
76,TrimmedRawStackdistal.tif,5,76,1.081,0.779,1.206,1.8,0.779,1.206,1.424,0.549,0.837,0.09,0.23,0.176,0.275,0.163,0.378,1.034,1.658,1.763,4.678,0.407,0.264,0.113,6.144,1.431,0.09,0.23,0.163,0.275,0.549,0.836,1.656,1.04
77,TrimmedRawStackdistal.tif,5,77,1.08,0.779,1.206,1.8,0.779,1.206,1.423,0.549,0.837,0.09,0.23,0.176,0.275,0.163,0.377,1.034,1.658,1.777,4.682,0.403,0.258,0.113,6.144,1.431,0.09,0.23,0.163,0.276,0.549,0.836,1.656,1.038
78,TrimmedRawStackdistal.tif,5,78,1.078,0.78,1.206,1.8,0.78,1.206,1.423,0.549,0.842,0.089,0.231,0.176,0.274,0.163,0.377,1.034,1.662,1.724,4.684,0.383,0.253,0.106,6.144,1.431,0.089,0.231,0.162,0.274,0.55,0.841,1.662,1.038
79,TrimmedRawStackdistal.tif,5,79,1.077,0.78,1.205,1.8,0.78,1.205,1.423,0.552,0.843,0.089,0.231,0.176,0.274,0.161,0.377,1.036,1.665,1.713,4.689,0.398,0.258,0.112,6.144,1.431,0.089,0.231,0.161,0.274,0.552,0.843,1.665,1.039
80,TrimmedRawStackdistal.tif,5,80,1.077,0.78,1.206,1.8,0.78,1.206,1.422,0.549,0.842,0.089,0.231,0.176,0.275,0.162,0.376,1.031,1.666,1.732,4.691,0.398,0.254,0.113,6.144,1.431,0.089,0.231,0.162,0.275,0.549,0.841,1.666,1.034
81,TrimmedRawStackdistal.tif,5,81,1.074,0.78,1.205,1.8,0.78,1.205,1.421,0.548,0.844,0.089,0.232,0.175,0.274,0.162,0.376,1.029,1.668,1.731,4.694,0.382,0.244,0.108,6.144,1.431,0.089,0.232,0.162,0.275,0.548,0.843,1.668,1.033
82,TrimmedRawStackdistal.tif,5,82,1.073,0.781,1.205,1.8,0.781,1.205,1.421,0.549,0.842,0.089,0.232,0.175,0.275,0.161,0.376,1.029,1.668,1.753,4.68,0.374,0.259,0.108,6.144,1.431,0.089,0.232,0.161,0.275,0.549,0.841,1.667,1.032
83,TrimmedRawStackdistal.tif,5,83,1.072,0.781,1.205,1.8,0.781,1.205,1.421,0.549,0.845,0.088,0.232,0.175,0.274,0.161,0.374,1.027,1.672,1.748,4.695,0.372,0.247,0.107,6.144,1.431,0.088,0.232,0.161,0.275,0.549,0.844,1.671,1.03
84,TrimmedRawStackdistal.tif,5,84,1.069,0.781,1.205,1.8,0.781,1.205,1.421,0.549,0.845,0.088,0.232,0.174,0.275,0.16,0.374,1.026,1.672,1.766,4.683,0.385,0.25,0.112,6.144,1.431,0.088,0.232,0.16,0.275,0.549,0.843,1.671,1.029
