"Collection","Specimen.number","Element","Digit","Side","Genus","Species","Max.articular.length","WhichDigit"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",32.01,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",30.03,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",30.91,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",29.43,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",28.69,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",31.01,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",29.98,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",29.07,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",28.23,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",29.05,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",28.92,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",30.25,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",31.28,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",30.12,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",28.39,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","carpal","Parahippus","leonensis",29.18,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",27.04,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",25.66,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",27.03,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",28.16,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",27.71,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",28.14,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",25.95,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",26.06,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",25.85,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",26.56,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",24.19,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",26.88,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",28.44,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",25.3,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",27.3,"center"
"MCZ.VertPaleo","7289","ProxPhalanx","III","tarsal","Parahippus","leonensis",29.1,"center"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.96,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",20.01,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",20.63,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.63,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.56,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",20.72,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",18.99,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.97,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",20.27,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",20.89,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.45,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.62,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",18.25,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.53,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","carpal","Parahippus","leonensis",19.21,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",18.52,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",18.21,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",18.35,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",18.83,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",17.47,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",17.28,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",17.3,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",16.82,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",16.96,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",16.6,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",17.57,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",15.57,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","tarsal","Parahippus","leonensis",15.63,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",14.75,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",13.62,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",13.83,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",14.08,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",13.64,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",13.78,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",14.5,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",15.07,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",15.82,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",16.1,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",15.1,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",15.03,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",14.04,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",15.8,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",15.81,"side"
"MCZ.VertPaleo","","ProxPhalanx","II/IV","","Parahippus","leonensis",14.8,"side"
"MCZ.VertPaleo","1325","ProxPhalanx","III","","Equus","niobrarensis",76.39,"center"
"MCZ.VertPaleo","13544","ProxPhalanx","III","","Equus","niobrarensis",82.19,"center"
"MCZ.VertPaleo","13413","ProxPhalanx","III","","Equus","niobrarensis",87.24,"center"
"MCZ.VertPaleo","13627","ProxPhalanx","III","","Equus","niobrarensis",76.03,"center"
"MCZ.VertPaleo","13220","ProxPhalanx","III","","Equus","niobrarensis",86.84,"center"
"MCZ.VertPaleo","13225","ProxPhalanx","III","","Equus","niobrarensis",71.82,"center"
"MCZ.VertPaleo","13411","ProxPhalanx","III","","Equus","niobrarensis",77.77,"center"
"MCZ.VertPaleo","13410","ProxPhalanx","III","","Equus","niobrarensis",75.71,"center"
"MCZ.VertPaleo","13412","ProxPhalanx","III","","Equus","niobrarensis",80.6,"center"
"MCZ.VertPaleo","13858","ProxPhalanx","III","","Equus","niobrarensis",80.52,"center"
"MCZ.VertPaleo","13417","ProxPhalanx","III","","Equus","niobrarensis",87.18,"center"
"MCZ.VertPaleo","13445","ProxPhalanx","III","","Equus","niobrarensis",84.84,"center"
"MCZ.VertPaleo","13676","ProxPhalanx","III","","Equus","niobrarensis",71.02,"center"
"MCZ.VertPaleo","13418","ProxPhalanx","III","","Equus","niobrarensis",83.63,"center"
"MCZ.VertPaleo","13448","ProxPhalanx","III","","Equus","niobrarensis",73.11,"center"
"MCZ.VertPaleo","13550","ProxPhalanx","III","","Equus","niobrarensis",82.17,"center"
"MCZ.VertPaleo","13748","ProxPhalanx","III","","Equus","niobrarensis",82.25,"center"
"MCZ.VertPaleo","13537","ProxPhalanx","III","","Equus","niobrarensis",73.73,"center"
"MCZ.VertPaleo","13541","ProxPhalanx","III","","Equus","niobrarensis",81.43,"center"
"MCZ.VertPaleo","13746","ProxPhalanx","III","","Equus","niobrarensis",79.29,"center"
"MCZ.VertPaleo","13415","ProxPhalanx","III","","Equus","niobrarensis",79.96,"center"
"MCZ.VertPaleo","13219","ProxPhalanx","III","","Equus","niobrarensis",84.16,"center"
"MCZ.VertPaleo","13507","ProxPhalanx","III","","Equus","niobrarensis",75.66,"center"
"MCZ.VertPaleo","13432","ProxPhalanx","III","","Equus","niobrarensis",73.95,"center"
"MCZ.VertPaleo","13545","ProxPhalanx","III","","Equus","niobrarensis",80.24,"center"
"MCZ.VertPaleo","13515","ProxPhalanx","III","","Equus","niobrarensis",78.64,"center"
"MCZ.VertPaleo","13435","ProxPhalanx","III","","Equus","niobrarensis",83.06,"center"
"MCZ.VertPaleo","13433","ProxPhalanx","III","","Equus","niobrarensis",78.82,"center"
"MCZ.VertPaleo","13509","ProxPhalanx","III","","Equus","niobrarensis",76.56,"center"
"MCZ.VertPaleo","13642","ProxPhalanx","III","","Equus","niobrarensis",82.85,"center"
"MCZ.VertPaleo","1325","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13544","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13413","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13627","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13220","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13225","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13411","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13410","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13412","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13858","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13417","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13445","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13676","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13418","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13448","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13550","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13748","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13537","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13541","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13746","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13415","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13219","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13507","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13432","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13545","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13515","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13435","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13433","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13509","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.VertPaleo","13642","ProxPhalanx","II","","Equus","niobrarensis",0,"side"
"MCZ.Mammals","62108","ProxPhalanx","III","tarsal","Equus","grevyi",83.46,"center"
"MCZ.Mammals","62108","ProxPhalanx","III","carpal","Equus","grevyi",87.32,"center"
"MCZ.Mammals","62108","ProxPhalanx","III","tarsal","Equus","grevyi",82.25,"center"
"MCZ.Mammals","62108","ProxPhalanx","III","carpal","Equus","grevyi",88.16,"center"
"MCZ.Mammals","62108","ProxPhalanx","II","tarsal","Equus","grevyi",0,"side"
"MCZ.Mammals","62108","ProxPhalanx","II","carpal","Equus","grevyi",0,"side"
"MCZ.Mammals","62108","ProxPhalanx","II","tarsal","Equus","grevyi",0,"side"
"MCZ.Mammals","62108","ProxPhalanx","II","carpal","Equus","grevyi",0,"side"
"MCZ.Mammals","6184","ProxPhalanx","III","tarsal","Tapirus","bairdii",40.74,"center"
"MCZ.Mammals","6184","ProxPhalanx","II","tarsal","Tapirus","bairdii",28.8,"side"
"MCZ.Mammals","6184","ProxPhalanx","IV","tarsal","Tapirus","bairdii",30.35,"side"
"MCZ.Mammals","6184","ProxPhalanx","II","carpal","Tapirus","bairdii",29.42,"side"
"MCZ.Mammals","6184","ProxPhalanx","III","carpal","Tapirus","bairdii",34.26,"center"
"MCZ.Mammals","6184","ProxPhalanx","IV","carpal","Tapirus","bairdii",29.91,"side"
"MCZ.VertPaleo","17876","ProxPhalanx","III","carpal","Parahippus","leonensis",28.24,"center"
"MCZ.VertPaleo","17877","ProxPhalanx","III","tarsal","Parahippus","leonensis",30.2,"center"
"AMNH","12454","ProxPhalanx","IV","carpal","Mesohippus","sp",9.28,"side"
"AMNH","12454","ProxPhalanx","III","","Mesohippus","sp",14.6,"center"
"AMNH","12454","ProxPhalanx","II/IV","","Mesohippus","sp",10.9,"side"
"AMNH","1186 UNCAT","ProxPhalanx","II","carpal","Mesohippus","sp",10.78,"side"
"AMNH","1186 UNCAT","ProxPhalanx","III","carpal","Mesohippus","sp",15.38,"center"
"AMNH","1186 UNCAT","ProxPhalanx","IV","carpal","Mesohippus","sp",11.99,"side"
"AMNH","12452","ProxPhalanx","II","","Mesohippus","sp",11.88,"side"
"AMNH","12452","ProxPhalanx","III","","Mesohippus","sp",16.08,"center"
"AMNH","12452","ProxPhalanx","IV","","Mesohippus","sp",10.73,"side"
"F:AM","74076","ProxPhalanx","II/IV","","Miohippus","obliquidens",10.06,"side"
"F:AM","74076","ProxPhalanx","III","","Miohippus","obliquidens",14.92,"center"
"F:AM","74076","ProxPhalanx","II/IV","","Miohippus","obliquidens",11.66,"side"
"F:AM","74076","ProxPhalanx","II/IV","","Miohippus","obliquidens",10.78,"side"
"F:AM","74076","ProxPhalanx","III","","Miohippus","obliquidens",15.83,"center"
"F:AM","74076","ProxPhalanx","II/IV","","Miohippus","obliquidens",12.81,"side"
